name,abbreviation,nirf_rank,state,city,affiliation,founded_year,is_premier,rating,placement_percentage,avg_package,highest_package,description
Global School of Business Administration Pimpri-Chinchwad,GB Pimpri-Chinchwad,278,Maharashtra,Pimpri-Chinchwad,Deemed University,2002,False,3.2,68.8,3.5,18.4,"A prominent regional institution located in Pimpri-Chinchwad, offering various programs in business administration."
Sunrise College of Engineering and Management Chennai,SE Chennai,732,Tamil Nadu,Chennai,UGC Recognized Private,2011,False,4.1,63.5,5.7,14.5,"A prominent regional institution located in Chennai, offering various programs in engineering and management."
Meridian Academy of Advanced Studies Jaipur,MA Jaipur,661,Rajasthan,Jaipur,AICTE Approved Private,1999,False,3.3,77.7,6.4,10.0,"A prominent regional institution located in Jaipur, offering various programs in advanced studies."
Apex Institute of Technology and Science Thane,AT Thane,493,Maharashtra,Thane,Deemed University,1988,False,3.4,68.0,3.9,15.4,"A prominent regional institution located in Thane, offering various programs in technology and science."
Royal Academy of Technology and Science Indore,RT Indore,113,Madhya Pradesh,Indore,UGC Recognized Private,1999,False,3.6,66.5,6.9,22.6,"A prominent regional institution located in Indore, offering various programs in technology and science."
Sunrise College of Computing Sciences Bhopal,SC Bhopal,440,Madhya Pradesh,Bhopal,Deemed University,2014,False,4.0,76.1,6.6,24.2,"A prominent regional institution located in Bhopal, offering various programs in computing sciences."
Royal School of Technology and Science Nagpur,RT Nagpur,287,Maharashtra,Nagpur,AICTE Approved Private,2010,False,3.2,71.8,7.4,8.3,"A prominent regional institution located in Nagpur, offering various programs in technology and science."
Sunrise Institute of Computing Sciences Nagpur,SC Nagpur,306,Maharashtra,Nagpur,AICTE Approved Private,2006,False,3.5,58.9,6.6,11.9,"A prominent regional institution located in Nagpur, offering various programs in computing sciences."
Apex Institute of Business Administration Thane,AB Thane,591,Maharashtra,Thane,Private Educational Trust,1982,False,3.4,79.3,5.7,8.9,"A prominent regional institution located in Thane, offering various programs in business administration."
Global Academy of Computing Sciences Bangalore,GC Bangalore,633,Karnataka,Bangalore,AICTE Approved Private,1984,False,3.2,69.5,4.9,20.2,"A prominent regional institution located in Bangalore, offering various programs in computing sciences."
Horizon School of Computing Sciences Pimpri-Chinchwad,HC Pimpri-Chinchwad,250,Maharashtra,Pimpri-Chinchwad,UGC Recognized Private,1993,False,3.6,57.2,3.8,23.7,"A prominent regional institution located in Pimpri-Chinchwad, offering various programs in computing sciences."
Meridian College of Advanced Studies Visakhapatnam,MA Visakhapatnam,677,Andhra Pradesh,Visakhapatnam,Deemed University,2009,False,3.5,61.8,6.1,10.0,"A prominent regional institution located in Visakhapatnam, offering various programs in advanced studies."
Horizon Institute of Technology and Science Mumbai,HT Mumbai,557,Maharashtra,Mumbai,State Govt. Autonomous,1995,False,3.3,69.0,6.5,10.0,"A prominent regional institution located in Mumbai, offering various programs in technology and science."
Meridian School of Engineering and Management Kanpur,ME Kanpur,161,Uttar Pradesh,Kanpur,UGC Recognized Private,2017,False,3.2,81.4,5.7,13.8,"A prominent regional institution located in Kanpur, offering various programs in engineering and management."
Royal Institute of Computing Sciences Jaipur,RC Jaipur,610,Rajasthan,Jaipur,AICTE Approved Private,2006,False,3.8,81.6,5.4,14.4,"A prominent regional institution located in Jaipur, offering various programs in computing sciences."
Royal College of Computing Sciences Lucknow,RC Lucknow,291,Uttar Pradesh,Lucknow,State Govt. Autonomous,2003,False,3.6,77.9,5.0,16.0,"A prominent regional institution located in Lucknow, offering various programs in computing sciences."
Future College of Computing Sciences Indore,FC Indore,583,Madhya Pradesh,Indore,UGC Recognized Private,2012,False,3.6,64.9,3.8,22.2,"A prominent regional institution located in Indore, offering various programs in computing sciences."
Sunrise College of Advanced Studies Indore,SA Indore,182,Madhya Pradesh,Indore,UGC Recognized Private,2007,False,3.2,64.4,3.6,15.9,"A prominent regional institution located in Indore, offering various programs in advanced studies."
Vertex College of Engineering and Management Bhopal,VE Bhopal,130,Madhya Pradesh,Bhopal,Deemed University,1985,False,3.6,69.2,3.8,13.2,"A prominent regional institution located in Bhopal, offering various programs in engineering and management."
Horizon Institute of Computing Sciences Kanpur,HC Kanpur,100,Uttar Pradesh,Kanpur,AICTE Approved Private,1989,False,4.1,77.1,4.8,24.2,"A prominent regional institution located in Kanpur, offering various programs in computing sciences."
Apex Institute of Engineering and Management Kanpur,AE Kanpur,540,Uttar Pradesh,Kanpur,UGC Recognized Private,2002,False,3.9,58.9,7.0,16.4,"A prominent regional institution located in Kanpur, offering various programs in engineering and management."
Global Academy of Advanced Studies Indore,GA Indore,263,Madhya Pradesh,Indore,State Govt. Autonomous,1994,False,3.1,68.3,4.8,19.5,"A prominent regional institution located in Indore, offering various programs in advanced studies."
Vertex College of Engineering and Management Nagpur,VE Nagpur,117,Maharashtra,Nagpur,UGC Recognized Private,2011,False,3.0,74.6,5.0,11.5,"A prominent regional institution located in Nagpur, offering various programs in engineering and management."
Future Academy of Technology and Science Delhi,FT Delhi,649,Delhi,Delhi,Deemed University,2015,False,3.5,59.5,3.5,21.2,"A prominent regional institution located in Delhi, offering various programs in technology and science."
Apex College of Computing Sciences Patna,AC Patna,600,Bihar,Patna,UGC Recognized Private,2012,False,3.2,84.4,5.1,8.5,"A prominent regional institution located in Patna, offering various programs in computing sciences."
Sunrise School of Computing Sciences Pune,SC Pune,137,Maharashtra,Pune,State Govt. Autonomous,1991,False,3.5,79.7,7.4,8.2,"A prominent regional institution located in Pune, offering various programs in computing sciences."
Pioneer College of Computing Sciences Delhi,PC Delhi,435,Delhi,Delhi,Deemed University,2001,False,3.1,58.0,7.2,14.5,"A prominent regional institution located in Delhi, offering various programs in computing sciences."
Future College of Technology and Science Bhopal,FT Bhopal,417,Madhya Pradesh,Bhopal,Deemed University,2000,False,3.6,68.1,5.1,19.2,"A prominent regional institution located in Bhopal, offering various programs in technology and science."
Excel School of Advanced Studies Thane,EA Thane,226,Maharashtra,Thane,UGC Recognized Private,1982,False,3.1,74.4,6.5,20.0,"A prominent regional institution located in Thane, offering various programs in advanced studies."
Royal Institute of Business Administration Lucknow,RB Lucknow,452,Uttar Pradesh,Lucknow,Deemed University,1993,False,3.7,55.2,5.9,19.6,"A prominent regional institution located in Lucknow, offering various programs in business administration."
Horizon Institute of Technology and Science Lucknow,HT Lucknow,690,Uttar Pradesh,Lucknow,UGC Recognized Private,2010,False,3.9,62.6,6.0,20.8,"A prominent regional institution located in Lucknow, offering various programs in technology and science."
Meridian Institute of Advanced Studies Visakhapatnam,MA Visakhapatnam,186,Andhra Pradesh,Visakhapatnam,State Govt. Autonomous,2005,False,3.6,84.8,4.5,18.6,"A prominent regional institution located in Visakhapatnam, offering various programs in advanced studies."
Royal College of Engineering and Management Hyderabad,RE Hyderabad,692,Telangana,Hyderabad,UGC Recognized Private,1984,False,3.3,58.9,4.6,17.3,"A prominent regional institution located in Hyderabad, offering various programs in engineering and management."
Global College of Business Administration Hyderabad,GB Hyderabad,765,Telangana,Hyderabad,State Govt. Autonomous,2016,False,3.5,65.5,3.9,9.8,"A prominent regional institution located in Hyderabad, offering various programs in business administration."
Meridian Institute of Technology and Science Nagpur,MT Nagpur,628,Maharashtra,Nagpur,Private Educational Trust,1992,False,3.7,58.4,5.7,8.2,"A prominent regional institution located in Nagpur, offering various programs in technology and science."
Global College of Business Administration Surat,GB Surat,493,Gujarat,Surat,State Govt. Autonomous,1997,False,3.8,81.4,4.9,17.6,"A prominent regional institution located in Surat, offering various programs in business administration."
Global Institute of Technology and Science Vadodara,GT Vadodara,392,Gujarat,Vadodara,UGC Recognized Private,1985,False,3.1,60.4,4.4,19.2,"A prominent regional institution located in Vadodara, offering various programs in technology and science."
Horizon College of Advanced Studies Pune,HA Pune,790,Maharashtra,Pune,AICTE Approved Private,2012,False,3.8,61.4,6.4,15.6,"A prominent regional institution located in Pune, offering various programs in advanced studies."
Vertex School of Business Administration Delhi,VB Delhi,100,Delhi,Delhi,UGC Recognized Private,2001,False,4.1,60.7,6.2,11.6,"A prominent regional institution located in Delhi, offering various programs in business administration."
Excel Institute of Technology and Science Surat,ET Surat,114,Gujarat,Surat,Deemed University,2016,False,3.7,57.2,6.0,15.9,"A prominent regional institution located in Surat, offering various programs in technology and science."
Pioneer Institute of Computing Sciences Nagpur,PC Nagpur,528,Maharashtra,Nagpur,AICTE Approved Private,2005,False,3.8,77.0,5.9,9.1,"A prominent regional institution located in Nagpur, offering various programs in computing sciences."
Apex College of Technology and Science Patna,AT Patna,502,Bihar,Patna,Private Educational Trust,2017,False,3.4,65.0,5.8,10.9,"A prominent regional institution located in Patna, offering various programs in technology and science."
Royal College of Business Administration Thane,RB Thane,545,Maharashtra,Thane,Deemed University,1982,False,3.3,71.3,4.2,12.6,"A prominent regional institution located in Thane, offering various programs in business administration."
Vertex Institute of Advanced Studies Pimpri-Chinchwad,VA Pimpri-Chinchwad,777,Maharashtra,Pimpri-Chinchwad,UGC Recognized Private,2006,False,3.7,77.5,4.3,18.6,"A prominent regional institution located in Pimpri-Chinchwad, offering various programs in advanced studies."
Excel Academy of Technology and Science Surat,ET Surat,579,Gujarat,Surat,Private Educational Trust,2013,False,3.6,77.8,5.9,9.2,"A prominent regional institution located in Surat, offering various programs in technology and science."
Global Academy of Engineering and Management Kolkata,GE Kolkata,548,West Bengal,Kolkata,AICTE Approved Private,1994,False,3.6,55.4,7.2,17.9,"A prominent regional institution located in Kolkata, offering various programs in engineering and management."
Global Academy of Technology and Science Pune,GT Pune,373,Maharashtra,Pune,UGC Recognized Private,1990,False,3.5,70.6,5.8,8.5,"A prominent regional institution located in Pune, offering various programs in technology and science."
Apex College of Engineering and Management Bangalore,AE Bangalore,433,Karnataka,Bangalore,Deemed University,2007,False,3.2,81.8,6.9,18.4,"A prominent regional institution located in Bangalore, offering various programs in engineering and management."
Vertex Institute of Computing Sciences Pimpri-Chinchwad,VC Pimpri-Chinchwad,319,Maharashtra,Pimpri-Chinchwad,AICTE Approved Private,2001,False,3.2,75.5,7.2,10.9,"A prominent regional institution located in Pimpri-Chinchwad, offering various programs in computing sciences."
Vertex Academy of Technology and Science Nagpur,VT Nagpur,269,Maharashtra,Nagpur,State Govt. Autonomous,1998,False,3.1,82.0,6.4,12.2,"A prominent regional institution located in Nagpur, offering various programs in technology and science."
Future School of Computing Sciences Vadodara,FC Vadodara,686,Gujarat,Vadodara,AICTE Approved Private,1985,False,3.4,59.2,4.2,19.1,"A prominent regional institution located in Vadodara, offering various programs in computing sciences."
Vertex School of Business Administration Nagpur,VB Nagpur,775,Maharashtra,Nagpur,AICTE Approved Private,1997,False,3.8,55.6,6.1,24.9,"A prominent regional institution located in Nagpur, offering various programs in business administration."
Global Academy of Advanced Studies Bhopal,GA Bhopal,690,Madhya Pradesh,Bhopal,AICTE Approved Private,2000,False,3.4,76.2,4.3,24.6,"A prominent regional institution located in Bhopal, offering various programs in advanced studies."
Pioneer Institute of Business Administration Chennai,PB Chennai,717,Tamil Nadu,Chennai,Deemed University,2018,False,3.8,56.7,4.0,15.6,"A prominent regional institution located in Chennai, offering various programs in business administration."
Vertex School of Business Administration Jaipur,VB Jaipur,641,Rajasthan,Jaipur,Deemed University,1997,False,3.0,62.6,4.3,8.1,"A prominent regional institution located in Jaipur, offering various programs in business administration."
Future Institute of Computing Sciences Pimpri-Chinchwad,FC Pimpri-Chinchwad,232,Maharashtra,Pimpri-Chinchwad,Deemed University,1996,False,3.3,63.8,7.4,12.4,"A prominent regional institution located in Pimpri-Chinchwad, offering various programs in computing sciences."
Future Academy of Advanced Studies Hyderabad,FA Hyderabad,552,Telangana,Hyderabad,Deemed University,2015,False,3.1,74.0,4.0,17.6,"A prominent regional institution located in Hyderabad, offering various programs in advanced studies."
Global College of Business Administration Visakhapatnam,GB Visakhapatnam,137,Andhra Pradesh,Visakhapatnam,Deemed University,1988,False,3.5,55.4,7.0,19.6,"A prominent regional institution located in Visakhapatnam, offering various programs in business administration."
Vertex College of Technology and Science Bhopal,VT Bhopal,784,Madhya Pradesh,Bhopal,Deemed University,1998,False,3.9,63.3,5.9,19.2,"A prominent regional institution located in Bhopal, offering various programs in technology and science."
Horizon College of Computing Sciences Kanpur,HC Kanpur,131,Uttar Pradesh,Kanpur,Private Educational Trust,2008,False,3.4,72.5,3.8,13.6,"A prominent regional institution located in Kanpur, offering various programs in computing sciences."
Apex School of Engineering and Management Bhopal,AE Bhopal,604,Madhya Pradesh,Bhopal,Deemed University,2002,False,3.3,84.2,3.8,20.3,"A prominent regional institution located in Bhopal, offering various programs in engineering and management."
Pioneer Academy of Computing Sciences Mumbai,PC Mumbai,350,Maharashtra,Mumbai,AICTE Approved Private,2007,False,4.1,71.7,3.6,24.5,"A prominent regional institution located in Mumbai, offering various programs in computing sciences."
Sunrise Institute of Computing Sciences Jaipur,SC Jaipur,326,Rajasthan,Jaipur,Private Educational Trust,1995,False,3.9,79.6,4.4,20.3,"A prominent regional institution located in Jaipur, offering various programs in computing sciences."
Royal Academy of Advanced Studies Vadodara,RA Vadodara,177,Gujarat,Vadodara,AICTE Approved Private,1986,False,3.5,77.3,4.2,11.7,"A prominent regional institution located in Vadodara, offering various programs in advanced studies."
Apex School of Advanced Studies Kolkata,AA Kolkata,422,West Bengal,Kolkata,AICTE Approved Private,1995,False,3.5,65.3,5.8,15.7,"A prominent regional institution located in Kolkata, offering various programs in advanced studies."
Pioneer Institute of Computing Sciences Pimpri-Chinchwad,PC Pimpri-Chinchwad,152,Maharashtra,Pimpri-Chinchwad,Deemed University,1996,False,3.5,77.2,5.7,19.0,"A prominent regional institution located in Pimpri-Chinchwad, offering various programs in computing sciences."
Apex School of Business Administration Mumbai,AB Mumbai,360,Maharashtra,Mumbai,UGC Recognized Private,2009,False,3.4,72.3,6.5,11.0,"A prominent regional institution located in Mumbai, offering various programs in business administration."
Future College of Technology and Science Chennai,FT Chennai,223,Tamil Nadu,Chennai,AICTE Approved Private,1996,False,3.2,58.1,6.5,9.5,"A prominent regional institution located in Chennai, offering various programs in technology and science."
Excel Academy of Computing Sciences Hyderabad,EC Hyderabad,276,Telangana,Hyderabad,AICTE Approved Private,1986,False,4.1,68.1,6.8,21.6,"A prominent regional institution located in Hyderabad, offering various programs in computing sciences."
Future Academy of Business Administration Nagpur,FB Nagpur,242,Maharashtra,Nagpur,State Govt. Autonomous,1995,False,3.7,64.1,3.6,10.0,"A prominent regional institution located in Nagpur, offering various programs in business administration."
Royal Academy of Engineering and Management Thane,RE Thane,225,Maharashtra,Thane,Private Educational Trust,2004,False,3.1,57.6,6.0,17.6,"A prominent regional institution located in Thane, offering various programs in engineering and management."
Royal Academy of Advanced Studies Lucknow,RA Lucknow,262,Uttar Pradesh,Lucknow,Private Educational Trust,2000,False,3.1,65.4,6.2,16.6,"A prominent regional institution located in Lucknow, offering various programs in advanced studies."
Vertex College of Technology and Science Jaipur,VT Jaipur,655,Rajasthan,Jaipur,UGC Recognized Private,1997,False,3.6,59.8,5.2,21.0,"A prominent regional institution located in Jaipur, offering various programs in technology and science."
Global School of Business Administration Visakhapatnam,GB Visakhapatnam,460,Andhra Pradesh,Visakhapatnam,Deemed University,1982,False,3.4,73.3,4.0,11.7,"A prominent regional institution located in Visakhapatnam, offering various programs in business administration."
Future Academy of Technology and Science Visakhapatnam,FT Visakhapatnam,478,Andhra Pradesh,Visakhapatnam,Private Educational Trust,2011,False,3.4,83.6,4.7,19.1,"A prominent regional institution located in Visakhapatnam, offering various programs in technology and science."
Apex School of Business Administration Ahmedabad,AB Ahmedabad,195,Gujarat,Ahmedabad,UGC Recognized Private,1990,False,3.7,71.6,7.4,22.8,"A prominent regional institution located in Ahmedabad, offering various programs in business administration."
Sunrise Academy of Engineering and Management Nagpur,SE Nagpur,154,Maharashtra,Nagpur,AICTE Approved Private,1987,False,3.1,69.9,4.1,9.6,"A prominent regional institution located in Nagpur, offering various programs in engineering and management."
Vertex College of Computing Sciences Kanpur,VC Kanpur,212,Uttar Pradesh,Kanpur,Private Educational Trust,1994,False,3.1,85.0,3.6,14.7,"A prominent regional institution located in Kanpur, offering various programs in computing sciences."
Vertex Institute of Engineering and Management Hyderabad,VE Hyderabad,556,Telangana,Hyderabad,AICTE Approved Private,2004,False,4.0,83.7,5.8,8.3,"A prominent regional institution located in Hyderabad, offering various programs in engineering and management."
Horizon Institute of Advanced Studies Delhi,HA Delhi,521,Delhi,Delhi,UGC Recognized Private,1998,False,3.6,74.7,4.7,19.0,"A prominent regional institution located in Delhi, offering various programs in advanced studies."
Sunrise Academy of Engineering and Management Chennai,SE Chennai,475,Tamil Nadu,Chennai,Private Educational Trust,2008,False,3.2,60.6,5.2,24.4,"A prominent regional institution located in Chennai, offering various programs in engineering and management."
Sunrise Academy of Engineering and Management Delhi,SE Delhi,214,Delhi,Delhi,Private Educational Trust,2008,False,3.2,62.9,7.2,24.4,"A prominent regional institution located in Delhi, offering various programs in engineering and management."
Global School of Technology and Science Indore,GT Indore,226,Madhya Pradesh,Indore,Private Educational Trust,1992,False,3.3,74.9,6.2,16.0,"A prominent regional institution located in Indore, offering various programs in technology and science."
Vertex School of Engineering and Management Bhopal,VE Bhopal,702,Madhya Pradesh,Bhopal,UGC Recognized Private,1984,False,3.8,83.5,4.8,11.7,"A prominent regional institution located in Bhopal, offering various programs in engineering and management."
Meridian College of Business Administration Kolkata,MB Kolkata,121,West Bengal,Kolkata,UGC Recognized Private,1983,False,3.1,58.3,7.4,19.4,"A prominent regional institution located in Kolkata, offering various programs in business administration."
Royal Institute of Computing Sciences Thane,RC Thane,392,Maharashtra,Thane,Private Educational Trust,2012,False,3.9,70.1,4.5,15.9,"A prominent regional institution located in Thane, offering various programs in computing sciences."
Global College of Computing Sciences Pune,GC Pune,320,Maharashtra,Pune,Deemed University,1989,False,3.8,71.0,6.8,12.2,"A prominent regional institution located in Pune, offering various programs in computing sciences."
Excel Academy of Advanced Studies Bangalore,EA Bangalore,695,Karnataka,Bangalore,AICTE Approved Private,1998,False,3.7,76.4,7.3,20.5,"A prominent regional institution located in Bangalore, offering various programs in advanced studies."
Global Institute of Engineering and Management Visakhapatnam,GE Visakhapatnam,640,Andhra Pradesh,Visakhapatnam,Deemed University,1995,False,3.2,66.4,6.9,22.0,"A prominent regional institution located in Visakhapatnam, offering various programs in engineering and management."
Vertex Academy of Advanced Studies Vadodara,VA Vadodara,109,Gujarat,Vadodara,Deemed University,2008,False,3.3,83.8,3.9,18.3,"A prominent regional institution located in Vadodara, offering various programs in advanced studies."
Excel College of Business Administration Vadodara,EB Vadodara,782,Gujarat,Vadodara,Private Educational Trust,2008,False,3.5,77.6,5.2,23.9,"A prominent regional institution located in Vadodara, offering various programs in business administration."
Sunrise School of Computing Sciences Pune,SC Pune,752,Maharashtra,Pune,Deemed University,2010,False,3.2,83.3,7.1,22.3,"A prominent regional institution located in Pune, offering various programs in computing sciences."
Vertex Institute of Advanced Studies Bangalore,VA Bangalore,543,Karnataka,Bangalore,AICTE Approved Private,1995,False,3.4,71.2,6.6,11.9,"A prominent regional institution located in Bangalore, offering various programs in advanced studies."
Pioneer Academy of Advanced Studies Indore,PA Indore,204,Madhya Pradesh,Indore,UGC Recognized Private,1998,False,3.4,80.0,6.2,13.5,"A prominent regional institution located in Indore, offering various programs in advanced studies."
Excel Institute of Advanced Studies Hyderabad,EA Hyderabad,700,Telangana,Hyderabad,Private Educational Trust,1982,False,3.1,68.5,5.4,14.6,"A prominent regional institution located in Hyderabad, offering various programs in advanced studies."
Vertex Academy of Engineering and Management Ahmedabad,VE Ahmedabad,667,Gujarat,Ahmedabad,AICTE Approved Private,2008,False,3.0,72.8,4.4,18.2,"A prominent regional institution located in Ahmedabad, offering various programs in engineering and management."
Pioneer Institute of Advanced Studies Kanpur,PA Kanpur,748,Uttar Pradesh,Kanpur,State Govt. Autonomous,2008,False,3.9,65.8,6.2,23.1,"A prominent regional institution located in Kanpur, offering various programs in advanced studies."
Apex School of Advanced Studies Indore,AA Indore,329,Madhya Pradesh,Indore,Deemed University,1983,False,3.4,82.8,3.5,12.3,"A prominent regional institution located in Indore, offering various programs in advanced studies."
